,db_id,query,question,query_toks,query_toks_no_value,question_toks,modified question,generated_query
0,concert_singer,SELECT count(*) FROM singer,How many singers do we have?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'singer']","['select', 'count', '(', '*', ')', 'from', 'singer']","['How', 'many', 'singers', 'do', 'we', 'have', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> How many singers do we have? <query> "," 

SELECT COUNT(*) FROM singers"
1,concert_singer,SELECT count(*) FROM singer,What is the total number of singers?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'singer']","['select', 'count', '(', '*', ')', 'from', 'singer']","['What', 'is', 'the', 'total', 'number', 'of', 'singers', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the total number of singers? <query> "," 

SELECT SUM(singer_count) FROM singers"
2,concert_singer,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","Show name, country, age for all singers ordered by age from the oldest to the youngest.","['SELECT', 'name', ',', 'country', ',', 'age', 'FROM', 'singer', 'ORDER', 'BY', 'age', 'DESC']","['select', 'name', ',', 'country', ',', 'age', 'from', 'singer', 'order', 'by', 'age', 'desc']","['Show', 'name', ',', 'country', ',', 'age', 'for', 'all', 'singers', 'ordered', 'by', 'age', 'from', 'the', 'oldest', 'to', 'the', 'youngest', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show name, country, age for all singers ordered by age from the oldest to the youngest. <query> "," <strong>SELECT name, country, age FROM singers ORDER BY age</strong>"
3,concert_singer,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","What are the names, countries, and ages for every singer in descending order of age?","['SELECT', 'name', ',', 'country', ',', 'age', 'FROM', 'singer', 'ORDER', 'BY', 'age', 'DESC']","['select', 'name', ',', 'country', ',', 'age', 'from', 'singer', 'order', 'by', 'age', 'desc']","['What', 'are', 'the', 'names', ',', 'countries', ',', 'and', 'ages', 'for', 'every', 'singer', 'in', 'descending', 'order', 'of', 'age', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the names, countries, and ages for every singer in descending order of age? <query> "," 

SELECT  singer_name ,  country ,  age  FROM  singer ORDER BY age DESC"
4,concert_singer,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","What is the average, minimum, and maximum age of all singers from France?","['SELECT', 'avg', '(', 'age', ')', ',', 'min', '(', 'age', ')', ',', 'max', '(', 'age', ')', 'FROM', 'singer', 'WHERE', 'country', '=', ""'France"", ""'""]","['select', 'avg', '(', 'age', ')', ',', 'min', '(', 'age', ')', ',', 'max', '(', 'age', ')', 'from', 'singer', 'where', 'country', '=', 'value']","['What', 'is', 'the', 'average', ',', 'minimum', ',', 'and', 'maximum', 'age', 'of', 'all', 'singers', 'from', 'France', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the average, minimum, and maximum age of all singers from France? <query> "," 

SELECT AVG(age) , MIN(age) , MAX(age) FROM singers WHERE country = 'France'"
5,concert_singer,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","What is the average, minimum, and maximum age for all French singers?","['SELECT', 'avg', '(', 'age', ')', ',', 'min', '(', 'age', ')', ',', 'max', '(', 'age', ')', 'FROM', 'singer', 'WHERE', 'country', '=', ""'France"", ""'""]","['select', 'avg', '(', 'age', ')', ',', 'min', '(', 'age', ')', ',', 'max', '(', 'age', ')', 'from', 'singer', 'where', 'country', '=', 'value']","['What', 'is', 'the', 'average', ',', 'minimum', ',', 'and', 'maximum', 'age', 'for', 'all', 'French', 'singers', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the average, minimum, and maximum age for all French singers? <query> "," <strong>SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'France'</strong>"
6,concert_singer,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",Show the name and the release year of the song by the youngest singer.,"['SELECT', 'song_name', ',', 'song_release_year', 'FROM', 'singer', 'ORDER', 'BY', 'age', 'LIMIT', '1']","['select', 'song_name', ',', 'song_release_year', 'from', 'singer', 'order', 'by', 'age', 'limit', 'value']","['Show', 'the', 'name', 'and', 'the', 'release', 'year', 'of', 'the', 'song', 'by', 'the', 'youngest', 'singer', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show the name and the release year of the song by the youngest singer. <query> "," <strong>SELECT</strong>  name ,  release_year  <strong>FROM</strong>  song  <strong>WHERE</strong>  singer_age  =  (  SELECT  min  (  singer_age  )  FROM  song  )"
7,concert_singer,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",What are the names and release years for all the songs of the youngest singer?,"['SELECT', 'song_name', ',', 'song_release_year', 'FROM', 'singer', 'ORDER', 'BY', 'age', 'LIMIT', '1']","['select', 'song_name', ',', 'song_release_year', 'from', 'singer', 'order', 'by', 'age', 'limit', 'value']","['What', 'are', 'the', 'names', 'and', 'release', 'years', 'for', 'all', 'the', 'songs', 'of', 'the', 'youngest', 'singer', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the names and release years for all the songs of the youngest singer? <query> "," 

SELECT  name ,  release_year FROM  songs WHERE  singer_name  =  'youngest'"
8,concert_singer,SELECT DISTINCT country FROM singer WHERE age  >  20,What are all distinct countries where singers above age 20 are from?,"['SELECT', 'DISTINCT', 'country', 'FROM', 'singer', 'WHERE', 'age', '>', '20']","['select', 'distinct', 'country', 'from', 'singer', 'where', 'age', '>', 'value']","['What', 'are', 'all', 'distinct', 'countries', 'where', 'singers', 'above', 'age', '20', 'are', 'from', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are all distinct countries where singers above age 20 are from? <query> "," 

SELECT DISTINCT country FROM singers WHERE age > 20"
9,concert_singer,SELECT DISTINCT country FROM singer WHERE age  >  20,What are  the different countries with singers above age 20?,"['SELECT', 'DISTINCT', 'country', 'FROM', 'singer', 'WHERE', 'age', '>', '20']","['select', 'distinct', 'country', 'from', 'singer', 'where', 'age', '>', 'value']","['What', 'are', 'the', 'different', 'countries', 'with', 'singers', 'above', 'age', '20', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are  the different countries with singers above age 20? <query> "," 

SELECT DISTINCT country FROM singers WHERE age > 20"
